번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),년도
1,과자류,100% 유기농 허니팝 키즈퐁,30,33.3,7.4,0.63,0,4.2,0,0,0,0,2013
2,과자류,100% 유기농 허니팝 키즈퐁,30,33.3,7.4,0.63,0,4.2,0,0,0,0,2017
3,과자류,10종 멀티팩,30,35.4,5.07,0.72,1.38,0.51,49.5,3.9,0.69,0,2013
4,과자류,10종 멀티팩,30,42.48,6.08,0.86,1.66,0.61,59.4,4.68,0.83,0,2017
5,과자류,1500미니약과,30,106.29,18,0.77,3.77,6.86,64.29,0,0,0,2012
6,과자류,1500미니약과,30,91.1,15.43,0.66,3.23,2.06,55.1,0,0,0,2017
7,과자류,"150누네띠네, 2000누네띠네, 3600누네띠네",30,150,17.5,2.5,7.5,5,125,0,5,0,2012
8,과자류,"150누네띠네, 2000누네띠네, 3600누네띠네",30,375,43.75,6.25,18.75,1.5,312.5,0,12.5,0,2017
9,과자류,15곡 브라운 라이스 롤,30,41.55,3.72,0.48,2.76,0.42,23.4,4.8,1.2,0,2013
10,과자류,15곡 브라운 라이스 롤,30,51.94,4.65,0.6,3.45,0.52,29.25,6,1.5,0,2017
11,과자류,15곡 브라운 라이스 롤 블랙 슬림,30,39.9,3.36,0.33,2.01,1.2,4.68,4.02,1.14,0,2013
12,과자류,15곡 브라운 라이스 롤 블랙 슬림,30,59.85,5.04,0.5,3.02,1.8,7.02,6.03,1.71,0,2017
13,과자류,2200미니약과,30,106.36,18.18,0.82,3.73,7.27,63.64,0,0,0,2012
14,과자류,2200미니약과,30,96.69,16.53,0.74,3.39,2.18,57.85,0,0,0,2017
15,과자류,24개 미니 마카롱,30,60,8.1,1.8,2.7,6.9,7.5,0,0.6,0.15,2013
16,과자류,24개 미니 마카롱,30,36,4.86,1.08,1.62,4.14,4.5,0,0.36,0.09,2017
17,과자류,30 홀리데이 캔디 케인스,10,36.5,1.3,0,0,0.9,0,0,0,0.05,2013
18,과자류,30 홀리데이 캔디 케인스,10,28.08,1,0,0,0.75,0,0,0,0.04,2017
19,과자류,3초만 참으셔(크라운제과),100,390.33,97.43,0.04,0.05,56.3,311.08,0,0,0,2015
20,과자류,3초만 참으셔(크라운제과),10,3.9,0.97,0,0,0.56,3.11,0,0,0,2017
21,과자류,5곡+2견과레몬센드,30,34.5,4.8,0.6,1.5,1.5,18,0,0.99,0,2013
22,과자류,5곡+2견과레몬센드,30,35.4,4.8,0.6,1.5,1.5,18,0,0.99,0,2013
23,과자류,5곡+2견과레몬센드,30,44.25,6,0.75,1.88,1.87,22.5,0,1.24,0,2017
24,과자류,5곡+2견과레몬센드,30,43.12,6,0.75,1.88,1.87,22.5,0,1.24,0,2017
25,과자류,6년근 홍삼캔디,10,39.72,9.92,0.01,0,3.2,0.77,0,0,0,2012
26,과자류,6년근 홍삼캔디,10,79.44,19.84,0.02,0,0.32,1.54,0,0,0,2017
27,과자류,700미니약과,30,106.29,18,0.77,3.77,6.86,64.29,0,0,0,2012
28,과자류,700미니약과,30,91.1,15.43,0.66,3.23,2.06,55.1,0,0,0,2017
29,과자류,72 마카롱 라즈베리,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2013
30,과자류,72 마카롱 라즈베리,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2017
31,과자류,72 마카롱 레몬,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2013
32,과자류,72 마카롱 레몬,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2017
33,과자류,72 마카롱 바닐라향,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2013
34,과자류,72 마카롱 바닐라향,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2017
35,과자류,72 마카롱 초코,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2013
36,과자류,72 마카롱 초코,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2017
37,과자류,72 마카롱 커피,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2013
38,과자류,72 마카롱 커피,30,40.5,4.5,0.9,2.1,3.9,6.3,0,2.1,0.6,2017
39,과자류,8 벨지안 트리플 초콜렛 청크 올버터 쿠키,30,38.1,4.53,0.45,1.98,2.79,27,0,1.17,0,2013
40,과자류,8 벨지안 트리플 초콜렛 청크 올버터 쿠키,30,45.72,5.44,0.54,2.38,3.35,32.4,0,1.4,0,2017
41,과자류,8 벨지안 화이트초콜렛 청크 올 버터쿠키,30,39,4.59,0.45,2.07,2.61,33,0,1.29,0,2013
42,과자류,8 벨지안 화이트초콜렛 청크 올 버터쿠키,30,46.8,5.51,0.54,2.48,3.13,39.6,0,1.55,0,2017
43,과자류,8 체리앤아몬드 올버터 쿠키,30,34.8,4.53,0.51,1.59,1.92,24,0,0.84,0,2013
44,과자류,8 체리앤아몬드 올버터 쿠키,30,41.76,5.44,0.61,1.91,2.3,28.8,0,1.01,0,2017
45,과자류,8 프랩잭 올 버터쿠키,30,33.6,4.53,0.42,1.47,2.61,21,0,0.96,0,2013
46,과자류,8 프랩잭 올 버터쿠키,30,40.32,5.44,0.5,1.76,3.13,25.2,0,1.15,0,2017
